platform,agency,url,date_sampled,likes
Facebook,DYCD,http://www.facebook.com/nycyouth,08/08/2011 12:00:00 AM,4005
Facebook,DOH,http://www.facebook.com/EatingHealthyNYC,08/08/2011 12:00:00 AM,1782
Facebook,NYC & Co,http://www.facebook.com/nycgo.br,08/08/2011 12:00:00 AM,4117
Facebook,DOE,http://www.facebook.com/NYCTeachingFellows,08/08/2011 12:00:00 AM,4451
Facebook,NYCService,http://www.facebook.com/nycservice,08/08/2011 12:00:00 AM,4812
Facebook,NYC Mayors Cup,https://www.facebook.com/nycmayorscup,08/08/2011 12:00:00 AM,4862
Facebook,DOH,http://www.facebook.com/nycquits,08/08/2011 12:00:00 AM,6365
Facebook,DOE,http://www.facebook.com/pages/I-TEACH-NYC/11409913191,08/08/2011 12:00:00 AM,7130
Facebook,DOE,http://www.facebook.com/fundforpublicschools,08/08/2011 12:00:00 AM,8075
Facebook,DPR,http://www.facebook.com/nycparks,08/08/2011 12:00:00 AM,9400
Facebook,OEM,http://www.facebook.com/nycemergencymanagement,08/08/2011 12:00:00 AM,4544
Facebook,DOE,http://www.facebook.com/NYCschools,08/08/2011 12:00:00 AM,15559
Facebook,DOH,http://www.facebook.com/NYCcondom,08/08/2011 12:00:00 AM,17264
Facebook,NYC & Co,http://www.facebook.com/nycgo,08/08/2011 12:00:00 AM,19684
Facebook,FDNY,http://www.facebook.com/FDNYhome,08/08/2011 12:00:00 AM,45712
Facebook,CCRB,https://www.facebook.com/home.php#!/pages/NYC-Civilian-Complaint-Review-Board/152765208087880,08/08/2011 12:00:00 AM,
Facebook,Commission on Human Rights,http://www.facebook.com/NYCCommissionOnHumanRights,08/08/2011 12:00:00 AM,
Facebook,DOB,http://www.facebook.com/NYCBuildings,08/08/2011 12:00:00 AM,
Facebook,DSNY,http://www.facebook.com/pages/NYC-Recycle-More-Waste-Less/152173854860863,08/08/2011 12:00:00 AM,
Foursquare,EDC,https://foursquare.com/user/3045331,08/08/2011 12:00:00 AM,
Facebook,HDP,http://www.facebook.com/pages/NYC-HPD-POE/128962093860639,08/08/2011 12:00:00 AM,
Facebook,HPD/Commission on Human Rights,http://www.facebook.com/FairHousingNyc,08/08/2011 12:00:00 AM,
Facebook,LPC,http://www.facebook.com/pages/NYC-Landmarks-Preservation-Commission/133261836703216,08/08/2011 12:00:00 AM,
Facebook,Materials for the Arts,https://www.facebook.com/mftanyc,08/08/2011 12:00:00 AM,
Facebook,MOAE,http://www.facebook.com/pages/You-Can-Too/203525729692056,08/08/2011 12:00:00 AM,
Facebook,MOIA,http://www.facebook.com/pages/WE-ARE-NEW-YORK/174438697072,08/08/2011 12:00:00 AM,
